row,alt,temp,wind,ph,pressure,cloud,sunlight
144,220,29,7,5.7,16,7,16
145,510,32.3,4,5.8,11,8,15
146,160,29.1,5,5.8,12,7.3,15
147,780,32,5,5.7,11,7.3,15
148,560,30.1,3,5.8,10,7,15
149,35,29.3,5,5.9,11,7,15
150,990,29.2,6,6.1,10,7,15
151,910,28.1,4,6,10,7,15
152,455,27.3,7,5.9,18,7.3,14
153,510,25.1,7,6,18,7.3,14
154,195,27.3,8,6,14,7.7,15
155,140,26.3,7,6,18,7.3,15
156,905,21,9,5.8,16,7.2,15
157,0,21.1,9,5.9,18,7.2,10
158,550,26.4,9,5.4,15,7.4,14
159,715,22.1,9,5.8,16,7.2,15
160,450,24.9,8,5.6,16,7,13
161,930,25.7,9,5.7,16,7,10
162,275,28.9,8,5.7,16,7,16
163,710,32.3,4,5.8,11,8,15
164,260,29,5,5.8,12,7.3,15
165,290,27.3,6,5.9,12,7.3,15
166,75,27.2,4,5.9,15,6.8,17
167,415,29.1,5,5.9,11,7,17
168,955,27.9,8,6,14,7.3,15
169,375,29.1,5,5.9,15,6.3,14
170,375,28.1,6,5.8,14,6.3,14
171,530,25.2,7,6,18,7.3,14
172,795,28.1,6,6,11,7.7,15
173,220,26.9,7,6,14,7.3,15
174,775,23.1,9,5.8,19,7.2,15
175,315,26.5,8,5.8,15,7.2,14
176,490,26.9,9,5.9,15,7.2,14
177,315,26.5,8,5.8,15,7.2,14
178,565,25.7,8,5.6,16,7,13
179,350,28.1,9,5.8,16,7,13
180,375,28.8,7,5.7,16,7,16
181,735,30,5,5.7,11,8,15
182,440,27.7,7,5.9,12,7.3,15
183,440,27.4,6,5.9,12,7.3,14
184,105,27.4,4,5.8,16,7,17
185,350,27,7,5.8,18,7.3,14
186,220,27.3,8,5.8,18,7.3,14
187,345,30.8,5,5.9,14,6.3,14
188,710,27,7,5.9,18,7.3,12
189,570,25.3,7,6,18,7.1,13
190,515,25,7,6,19,7.1,13
191,995,28.3,8,5.8,15,7.2,15
192,810,28.2,6,6,11,7.7,15
193,415,26.6,8,5.9,15,7.2,15
194,405,26.5,8,5.8,15,7.2,15
195,315,26.4,8,5.8,15,7.2,15
196,300,21,8,5.6,16,7,13
197,970,25.9,9,5.7,16,7,10
198,475,28.9,7,5.7,16,7,16
199,905,29.1,6,5.7,11,8,15
200,740,25.6,8,5.9,12,7.3,15
201,350,27,7,5.8,18,7.3,14
202,10,27.4,5,6.1,15,6.8,17
203,990,28,9,5.9,14,7.7,15
204,190,27.1,9,5.9,14,7.7,15
205,195,27.3,8,6,14,7.7,15
206,200,27.2,8,6,14,7.7,15
207,230,27,6,6.1,14,7.7,15
208,930,28,7,5.9,14,7.7,15
209,895,28.1,7,6,14,7.8,15
210,715,26.1,9,6,15,7.2,13
211,715,26.3,9,5.9,15,7.2,15
212,400,26,9,5.8,16,7.2,15
213,400,26.1,9,5.8,18,7.1,13
214,410,23.1,8,5.6,16,7,13
215,870,26.1,9,5.8,16,7,10
216,375,28.7,7,5.7,16,7,16
217,970,29.3,6,5.7,11,8,15
218,715,25,8,5.9,12,7.3,15
219,490,25,7,5.8,18,7.3,14
220,110,27.3,6,5.8,16,7,14
221,115,26.2,8,6,12,7.3,15
222,740,25.6,8,5.9,12,7.3,15
223,495,25.9,8,5.9,12,7.3,15
224,530,27.1,8,6,12,7.3,15
225,490,25,7,5.8,18,7.3,14
226,295,26.9,8,5.8,18,7.3,14
227,915,28.4,8,5.8,15,7.2,15
228,440,26.4,9,5.7,14,7.1,13
229,735,26.6,9,5.6,14,7.1,14
230,910,26.2,9,5.8,14,7.1,14
231,710,23.9,8,5.6,16,7,13
232,850,22.4,9,5.8,16,7.2,15
233,410,23.9,8,5.6,16,7,10
234,375,28.6,8,5.7,16,7,16
235,110,29,5,5.8,11,8,15
236,395,26.1,8,5.9,12,7.3,15
237,360,27,6,5.9,16,7,16
238,275,27.1,6,5.9,16,7,14
239,395,26.1,8,5.9,12,7.3,15
240,505,26.1,8,5.9,12,7.3,15
241,375,26.7,8,6,12,7.3,15
242,0,28.1,8,5.9,16,7,11
243,315,28.4,8,5.4,16,7,11
244,745,27.6,9,5.9,16,7,13
245,945,27.4,9,5.9,16,7,13
246,905,21,9,5.8,16,7.2,15
247,5,21.4,9,5.9,16,7.2,15
248,715,24.7,9,5.8,14,7.1,14
249,400,26.7,9,5.8,17,7.1,14
250,490,22.9,9,6,14,7.2,15
251,490,21.1,9,6,16,7,10
252,395,28.3,8,5.7,14,7,16
253,290,27.9,6,5.9,16,7,15
254,300,27.8,6,5.9,16,7,15
255,330,23.8,6,5.9,16,7,16
256,175,26.8,6,5.9,16,7,16
257,910,28.1,9,5.9,14,7.7,15
258,390,26.8,6,5.9,16,7,16
259,970,29.3,6,6,15,7,16
260,985,29.2,7,6,16,6.9,15
261,5,29,7,6.1,16,6.9,15
262,105,29,7,6.2,16,6.4,16
263,445,27.4,7,6,16,6.4,14
264,415,27.1,7,6.1,15,6.4,14
265,0,28.1,8,5.9,16,7,11
266,870,26.7,9,5.8,14,7.1,14
267,10,27.1,9,5.8,16,7,13
268,555,25.5,8,5.6,16,7,13
269,350,22.8,8,6,16,7,10
270,710,27.3,8,5.7,12,6.9,10
271,310,27.8,6,5.9,16,7,15
272,270,27.4,7,5.2,16,7,16
273,300,26.8,6,5.9,16,7,16
274,350,26.8,6,5.9,16,7,16
275,900,28.8,6,6.9,16,7,16
276,910,28.8,6,6,16,7,16
277,930,29.8,5,6,16,7,16
278,930,29.8,5,5.9,14,6.3,14
279,325,30.8,5,5.9,14,6.3,14
280,325,29.5,5,5.9,14,6.3,14
281,525,28.5,5,5.5,13,6.3,14
282,550,28.1,5,5.3,12,6,13
283,910,26.2,9,5.8,14,7.1,14
284,900,26.2,9,5.8,14,7.1,14
285,380,24.2,9,6.3,15,7.1,12
286,350,23.8,9,6.1,16,7.3,10
287,730,21.8,9,6,16,7,10
288,50,23.8,9,6,16,7,10
